account_id,customer_id,iban,account_type,currency,balance,opening_date,status,branch_code,interest_rate
HSP0000000033,MUS00000018,TR71006200339740148902503,Tasarruf,TRY,67641.85,2019-06-28,Aktif,2562,25.69
HSP0000000034,MUS00000018,TR52006406856218501631599,Vadeli,TRY,202156.53,2018-09-10,Aktif,4939,32.48
HSP0000000035,MUS00000019,TR88006206629619431142626,Vadeli,TRY,140296.88,2019-06-26,Aktif,6829,37.27
HSP0000000036,MUS00000019,TR73000402126788861015819,Vadesiz,TRY,24730.57,2019-05-11,Aktif,5419,0.0
HSP0000000037,MUS00000019,TR94006408262244472126464,Vadeli,TRY,149464.44,2019-05-25,Aktif,4977,44.48
HSP0000000038,MUS00000020,TR02004601240659657569245,Vadesiz,TRY,50040.19,2021-12-17,Aktif,4203,0.0
HSP0000000039,MUS00000020,TR35004609356465193982807,Tasarruf,TRY,14293.22,2021-09-07,Aktif,5775,29.37
HSP0000000040,MUS00000021,TR57000604342661797968868,Vadesiz,TRY,5625.78,2023-02-09,Pasif,9180,0.0
HSP0000000041,MUS00000021,TR44000403529096561014388,Vadesiz,EUR,65002.53,2023-05-15,Aktif,2392,0.0
HSP0000000042,MUS00000021,TR86000605071461125457387,Vadeli,TRY,190189.19,2023-03-09,Aktif,9199,44.31
HSP0000000043,MUS00000022,TR12000105123828258673622,Vadesiz,TRY,5467.23,2024-01-19,Aktif,2885,0.0
HSP0000000044,MUS00000023,TR27001003419182553714785,Vadeli,TRY,102675.6,2025-08-18,Aktif,1072,35.74
HSP0000000045,MUS00000023,TR48006409125134125286692,Vadeli,TRY,177222.7,2025-06-10,Aktif,5873,40.43
HSP0000000046,MUS00000024,TR74001202257905072368876,Vadeli,TRY,459984.69,2019-01-15,Aktif,9022,38.87
HSP0000000047,MUS00000024,TR04001200438427978819148,Tasarruf,TRY,39147.09,2018-11-30,Pasif,4613,21.31
HSP0000000048,MUS00000025,TR03000403407451713395962,Vadeli,USD,360895.22,2021-07-28,Aktif,7965,30.46
HSP0000000049,MUS00000025,TR59006408254494812604223,Tasarruf,TRY,64454.7,2021-08-09,Pasif,5605,17.02
HSP0000000050,MUS00000025,TR65000609466711684577590,Vadesiz,TRY,67500.1,2021-05-11,Aktif,9019,0.0
HSP0000000051,MUS00000026,TR76000408636374545892975,Yatırım,TRY,638492.14,2019-05-23,Blokeli,6869,0.0
HSP0000000052,MUS00000026,TR29004607063242415415206,Kredi,TRY,-125609.72,2019-01-21,Aktif,3588,1.55
HSP0000000053,MUS00000026,TR15001007129387005162713,Tasarruf,TRY,34395.55,2018-07-16,Pasif,1017,24.07
HSP0000000054,MUS00000027,TR57000601890927532697311,Tasarruf,TRY,70491.02,2024-05-21,Aktif,3181,17.65
HSP0000000055,MUS00000028,TR56001201389994043898364,Vadesiz,TRY,34408.16,2023-09-08,Aktif,5059,0.0
HSP0000000056,MUS00000029,TR57006401805526965827109,Yatırım,TRY,392026.72,2022-12-08,Aktif,9185,0.0
HSP0000000057,MUS00000029,TR59001208666188924141832,Vadesiz,TRY,4931.46,2023-02-26,Aktif,9300,0.0
HSP0000000058,MUS00000030,TR74001000316179904210202,Vadeli,TRY,342122.56,2024-01-18,Pasif,8167,32.75
HSP0000000059,MUS00000030,TR42001201056481491778507,Vadeli,TRY,412140.9,2024-04-26,Aktif,3079,29.17
HSP0000000060,MUS00000031,TR56001008000307562208635,Vadesiz,TRY,71552.05,2025-05-11,Pasif,2889,0.0
HSP0000000061,MUS00000031,TR83000408023806174451870,Vadesiz,EUR,66097.16,2025-03-19,Aktif,7108,0.0
HSP0000000062,MUS00000031,TR52001008320603850506413,Vadeli,TRY,371090.11,2024-10-02,Pasif,9083,36.6
HSP0000000063,MUS00000032,TR69000400386571918261990,Vadesiz,TRY,79757.05,2020-12-19,Aktif,5584,0.0
HSP0000000064,MUS00000032,TR03001505743132912127756,Vadeli,EUR,134190.51,2020-05-30,Aktif,7438,48.15
HSP0000000065,MUS00000033,TR67006400352135680442067,Vadeli,TRY,234356.56,2023-06-16,Aktif,5984,27.26
HSP0000000066,MUS00000034,TR35000603651994101372151,Vadeli,TRY,397935.82,2020-10-26,Aktif,4641,25.3
HSP0000000067,MUS00000034,TR83000106625324472099934,Vadesiz,TRY,45953.35,2021-03-15,Aktif,9128,0.0
HSP0000000068,MUS00000035,TR59001008065787598564205,Kredi,TRY,-77220.04,2018-08-14,Aktif,9614,2.1
HSP0000000069,MUS00000035,TR92000601334803965223955,Vadeli,TRY,144061.67,2018-09-10,Pasif,4813,38.24
HSP0000000070,MUS00000036,TR63004608427010393087059,Vadesiz,TRY,45132.16,2019-06-22,Dondurulmuş,4084,0.0
HSP0000000071,MUS00000036,TR28000102921851569154522,Vadesiz,TRY,73510.58,2019-02-19,Aktif,1975,0.0
HSP0000000072,MUS00000036,TR23001009264422096902959,Tasarruf,TRY,39027.28,2019-02-16,Aktif,6846,13.48
HSP0000000073,MUS00000037,TR85000601570433154100676,Vadeli,EUR,373944.95,2022-02-18,Aktif,6234,33.67
HSP0000000074,MUS00000038,TR21000607104054115262181,Kredi,TRY,-109658.77,2020-08-27,Aktif,4695,3.99
HSP0000000075,MUS00000038,TR95006406201533688444310,Vadesiz,GBP,56389.92,2021-02-12,Kapalı,3703,0.0
HSP0000000076,MUS00000038,TR84006407310324171467741,Vadeli,TRY,31979.9,2020-07-08,Aktif,5825,35.69
HSP0000000077,MUS00000039,TR56001203490211586938068,Vadeli,TRY,97358.56,2023-02-24,Aktif,8619,31.58
HSP0000000078,MUS00000039,TR04003200898992172233206,Vadeli,TRY,240038.07,2023-06-02,Kapalı,2293,36.91
HSP0000000079,MUS00000040,TR06000406868548709986162,Tasarruf,TRY,11915.47,2018-12-02,Pasif,2097,15.16
HSP0000000080,MUS00000041,TR47006205646799702462996,Vadeli,TRY,462839.44,2020-09-18,Dondurulmuş,5687,44.49
HSP0000000081,MUS00000042,TR80001504447132475469137,Kredi,TRY,-149404.21,2020-05-12,Aktif,1331,4.19
HSP0000000082,MUS00000043,TR78000601486289023303070,Yatırım,TRY,868517.08,2020-03-10,Pasif,9442,0.0
HSP0000000083,MUS00000044,TR02001005797279855241406,Tasarruf,TRY,40459.6,2025-08-25,Pasif,1500,28.46
HSP0000000084,MUS00000044,TR17001004680072290349446,Vadesiz,USD,17224.06,2025-01-25,Pasif,4688,0.0
HSP0000000085,MUS00000044,TR48006401085899441715454,Kredi,USD,-44423.6,2025-03-07,Aktif,7506,3.53
HSP0000000086,MUS00000045,TR16001502074466609935387,Tasarruf,USD,12079.35,2024-01-12,Aktif,7620,27.99
HSP0000000087,MUS00000046,TR13004602482513534655494,Tasarruf,TRY,67267.03,2023-01-24,Pasif,2599,13.62
HSP0000000088,MUS00000046,TR33004603816846022356972,Vadeli,TRY,319026.39,2023-02-05,Aktif,2166,48.61
HSP0000000089,MUS00000046,TR31001500074329271296666,Vadesiz,TRY,39057.71,2023-03-03,Pasif,3897,0.0
HSP0000000090,MUS00000047,TR10001000033542168942104,Vadeli,TRY,189685.2,2022-03-23,Aktif,9700,47.3
HSP0000000091,MUS00000047,TR42001507532603323098215,Kredi,TRY,-105299.41,2022-10-24,Aktif,3192,4.16
HSP0000000092,MUS00000047,TR74000400016761847230461,Tasarruf,TRY,51261.65,2022-12-14,Aktif,1785,22.46
HSP0000000093,MUS00000048,TR82006401411739348356420,Vadesiz,TRY,66469.15,2024-11-02,Aktif,9381,0.0
HSP0000000094,MUS00000048,TR23000409721811437447012,Vadeli,EUR,242928.65,2025-01-08,Aktif,2458,25.07
HSP0000000095,MUS00000049,TR16000102255794155216674,Kredi,TRY,-85773.05,2020-02-16,Aktif,1751,1.78
HSP0000000096,MUS00000049,TR22000600216979729659027,Yatırım,TRY,427522.42,2020-03-13,Aktif,2852,0.0
HSP0000000097,MUS00000049,TR04006209935889163756289,Kredi,TRY,-10148.49,2020-04-30,Aktif,1202,3.46
HSP0000000098,MUS00000050,TR77001503540838663177971,Tasarruf,TRY,68164.51,2022-01-12,Pasif,9055,11.5
HSP0000000099,MUS00000032,TR11000106608801994883755,Vadeli,TRY,39840.13,2020-11-19,Pasif,1291,33.58
HSP0000000100,MUS00000030,TR94000607113055488510272,Vadesiz,TRY,48036.1,2024-11-16,Pasif,6952,0.0
